language,sentences
es,nadoncella que las del recato proprio.»L
es,habré detomar tu consejo en cuanto el ir
es," Torralba era hija de un ganadero rico, "
fr,"s, il avaitsoin, en passant, de jeter l'"
es,r saber el findesta tan larga historia.-
fr," diaboliques et excommuniés, mettez sur "
fr,"pas commepoëtes, mais comme amoureux, il"
fr,s été et qui sera jamais dans toutl'univ
es,Eso me parece -respondió el galeote- com
en,"Viceroy, Don Antonio andSancho hastened "
es,. De su embelesamiento levolvió Sancho P
es, y que le traía otro presente quevalía m
es,"te, suprimer autor, sino por un aragonés"
es,"su modo, como y cuando quisiere, que no "
es,"nera, la noche escura, el escudero hambr"
es,e venís?A lo que él respondió:-Mujer mía
es,"ojahacia la marina, porque, si no me con"
es,"ay memoria a quien el tiempo no acabe, n"
es," últimamente, las frutas de sartén, si e"
es,pero no meaprovechó nada este buen deseo
es, entender presto ser verdad lo quepensáb
fr," droit de m'appeler trompeuse, quand je "
es,"el aguijón; pero, con todo eso, meda muy"
es,"ándo en la primera parte, por culpa de l"
fr,"  Et, comme on dit, une vertu,      Le m"
es," acabaron de lavar a donQuijote, y luego"
es,"me amenaza; y así, sólo diré cómo en nue"
es,samiento menos que católico.-A escribir 
es,"to a suseñor, con voz enferma y lastimad"
en,"hey perceived the singer, andit was no o"
es,"ar donde me embosque, quetú volverás, co"
es,"o que me escuche, o algún caballerocarit"
fr,moment à deux mille exemplaires: ils ser
es,"ensamientos de su amigo:-Para que, señor"
fr,e mirent àmanger d'un égal appétit.Ils e
en,er's service until he arrived at Saragos
fr,don Fernand pour me révéler son amour: i
en,EXTRAORDINARY ADVENTURE THATBEFELL DON Q
es,as podrá tener el que con atención la le
fr,"ris, qui empestes l'aild'une lieue.Cela "
fr,"ncore, malgré leur laideur, je ne sais q"
es,"e lacaballería andante, por cuyo ejercic"
fr,rs flancs le bruit desclairons et des tr
fr,t je vousrends grâces de vos offres obli
fr,"r il y avait des livresmodernes, tels qu"
fr,souffre excède sa sentence.  Mais si l'A
en,have been present to see howappreciated 
es,aído a Cardenio la cabeza sobre el pecho
es,y ahoracaballeros andantes? ¿Dónde hay g
es,rasladaría de muy buena letra. Metió la 
es,"o -dijo don Quijote-, pero molido y queb"
fr,rler entoute liberté.Lorsqu'ils se furen
en,lf before the matchless Lady Dulcineain 
fr, possible? s'écria don Quichotte. Par ma
en,of these books that he forgot to follow 
fr,"prirent le chemin du Puerto-Lapice, dont"
fr,us en semble? dit le curé en s'adressant
es,"llarla, vinieron aparar a un prado lleno"
en,"the old proverb: like master, likeservan"
fr," moi, pour me vengerd'une injure que m'a"
es,"r una en el cla-,   si bien se comen las"
es,-¿Es vuestro escudero éste? -preguntó el
es,"er y reposar miscompañeros, y allí comer"
es,"esgraciado""; otros, ""cortés, peroimperti"
es, ducados.-¿Tan bueno es? -dijo don Quijo
en,as whether the donkey was well. Tothis g
es,"ayudaré a todo.Y así lo hizo, ahechándol"
es," quiso ir la infanta doña Urraca, tenías"
fr,le qu'il aurait dûoublier.»Dans cette se
en,ds or he would pluckout his own in the l
es,"s, buscando ami señora Dulcinea, y, aunq"
fr,"Cid. De tout cela donc, je dois conclure"
fr,"gouvernement deSancho, ce qui divertit f"
fr,"as plus qu'un autre, s'il ne faitdavanta"
fr,ssion que j'exerce. Qu'a-t-on àdire à ce
es,e le aconsejaba con todapuntualidad; y a
es, don ÁlvaroTarfe.-Bien podrá ser -respon
fr,langage et cette bizarre figure ne faisa
fr,le don           Quichotte prétendit avo
es,"lvió a medio galope, diciendo:-Cualquier"
fr,r de l'or etdes noyaux pour des perles.O
es,"evárades el primero en licencias,como ll"
es,"ue vi cortar por mis mismísimos ojos, y "
fr,très-bonne; du moins elle n'est pas auss
es,go Sancho -respondió el duque-: yo no pu
fr,"itablequ'il était, ne bougea pas de son "
es,"o-, y con esa confianza te hago saber,am"
es,"nto, que a lasespaldas de don Fernando s"
es," en los mozos, por la mayor parte, no lo"
es,"duque Alfeñiquén del Algarbe; el otro, q"
en,"uchess; but, somehow, she did not seem t"
fr,t s'appliquer qu'à celles qui ne sont sé
fr,", oh! pour celui-là,c'est autre chose: s"
es,anos de aquel trigo erangranos de perlas
es,"rían, y tales, que no les igualasen los "
es,poesía y de la oratoria; quela épica tam
fr,"étonné qu'il en fût ainsi,car mes action"
en,a's godfather at her baptism. But the st
fr,juges ne vous ont pas mis en main cettev
en,with ambitious sentences that meantnothi
en,ck on theastonished men and left the sho
es,restre; que si todas estas cosas supiera
fr,ourant d'air des cruches nommées _alcara
es,"evado de otros disignios suyos, no gusta"
es,y si él lo dijopor quien parece que lo d
es,"npor discreto, y allí se les deslizaba p"
fr," édit.Voilà, dit-il en se haussant, voil"
fr,"ousmiel, et les mouches vous mangeront; "
es,diversas partes de todos aquellos alrede
es,emalandrines y follones me salen al encu
en,d they were to give a pageant and a play
en,"it were, Sancho was jubilant, although h"
es,"pudiese mostrar, aunque demuy lejos, esp"
es, tal que al de un monesterio pudiera com
es,iese hacer la fianza; alcual nunca descu
fr,ourme se composede Mores. Contrairement 
fr,".Dites-moi, seigneur, demanda la gouvern"
fr,"les bons.  [39] André Laguna, né à Ségov"
es,"he;   si, a dicha, fueron tus amas   la "
fr,". Seigneur, lui disait-il, je ne saurais"
fr,"s coiffes, c'est plutôt parceque sa char"
es,que tengo de que de su humildad viene mi
es,ra de gozar tantobien como el que gozaro
en,it was a useless task totry to prevail u
fr,res ou des tablettes de cire. Mais je m'
es,.»Pero no los pudo quitar que Lotario no
es,Fernando en lo que reparaba el padre de 
fr,lemoment n'en parlons pas.Je m'en fie à 
es,"as, que, a mi parecer, no había más en t"
fr,"cinde,sans que personne pût m'indiquer l"
fr,"e délai qu'il avait fixé, il remit à cha"
es," agua;y si no, operibus credite, et non "
es, libros de memoria jamás se acetaban ni 
es,ene en mialma con tanta seguridad que si
es,le salto de mata que ruego de hombresbue
fr,e ait la bonté de lire tout haut; j'aime
es, queparecía que le arrancaba de lo profu
es,en Dios Nuestro Señor que no ha depoder 
es,"illezde mi rostro, ni mi atenuada flaque"
en," no aversion to itwhatever, for he bomba"
fr,"ille, repartit Sancho, car cela ne convi"
fr,"o, et répondit qu'il y consentirait de b"
fr,"resser que se fouetter, dit la duchesse,"
es,"go de los buenos, y tenía una cara como "
en,y livingbeing. The Knight of the Grove t
fr,il s'abandonna à ses rêverieshabituelles
en,oduction of a storyabout this matter of 
fr,"rsl'ont voulu, et non parce que je l'ava"
es,llabatalla fuese con tanto riesgo y peli
es,e Sancho respondió:-Los tres tocadores s
es,"gendra su semejante. Y así,¿qué podrá en"
es,"ónde vais, y quégente de guerra es la qu"
fr,", et vous aussi, bergers, m'écouter quel"
es,an bien andantes sean ellos para consigo
fr,", tout ce qu'il ya dans cette caverne: p"
es,ora como Dulcinea del Toboso.-Tan alta e
es,"mpañarla son de algún otro instrumento, "
fr,ti adopter. Ayant appris par le bruitpub
fr,"an le suivit quelque temps des yeux, pui"
fr,"rmenté de cette pensée, il abrége son ma"
es,irado quedó don Quijote de oír hablar a 
fr,nt cinquante demi-réaux ou soixante-quin
fr,sion de chevalier errant m'oblige à l'êt
es,"yo la cuenta, y erala mayordoma y señora"
fr,e au premier chef. Lareine Madasime fut 
es,"leros vencidos los puncen moscas, los co"
fr,"d'une confrérie, et chacun disait qu'ave"
fr,"ux de sonroi, en donnant un beau coup de"
es,"rato, el rato a la cuerda, lacuerda al p"
es,s posas con los encantos! ¡ParDios que s
fr," mort; etcomme je serai le maître, et ti"
es," con procurar perderme,hacer contenta su"
fr,"sfurent saints, et qu'ils combattirent a"
es,"rced ahítodo cuanto quiere, y qué bien q"
es,a manera a que toda la caterva de caball
es, a emboscar en unaalameda que hasta un c
fr, deux gagnèrent à petits pas un boisqu'o
fr,"main, répliqua Sancho.Mais c'est plutôt "
fr,squ'il s'agit de contracter mariage: une
fr,changé le visage de votre époux en celui
en,"MPUDENT ALTISIDORA, ONEOF THE DUCHESS' D"
es,"tro poco más del campo, porque vio que s"
fr,"it paresseux,  Et c'est là qu'il allume "
fr,"ge se dilater, avec une vive démangeaiso"
fr,"aissons très-bienles aventures, ne doit "
fr,le place la prison de Cervantes.  [9] _O
fr, suis mesuré avec elle en lui aidant à m
en," of thelaw, who had been hunting for him"
fr, j'aiconfiance dans la miséricorde de Di
es,"los, que de industria, y sólo para este "
es,"bría un hermosísimo rostro dedoncella, y"
es,"ndose solo con Sancho, le dijo:-Dime, tr"
en, through with theordeal bravely; but San
es,"iomar de Quiñones, mujer del regente de "
fr,ent dru comme grêle sur la tête de l'hôt
en,shing alance over his head. He gave hims
es," que, sin duda, debe de estar puesta ena"
fr,"héros les reçut d'un air grave, et leur "
es," hincarse de rodillasante el duque, que "
es," menos se lo piense, oirá decir como yo "
es,"curso verdadero, aquien podría ser que n"
es,", por saber todo esto tan apriesa; basta"
fr,"haut avec votre jugement sain et entier,"
es,en de memoria para trasladalla a su tiem
en,"hecovered it with the clean basin, that "
es,"oce, aunque nuncase venda. ¡Bonico soy y"
es,jeturo que el tesoro de la fermosura des
fr,"vous plaira.Il n'en distille rien, canai"
es,a de camino en habercomparado la amistad
es,"ñir, y que otra persona,con mucha preste"
fr,"i, prévaricateur des ordonnancesécuyéres"
es,"dar a todo felice suceso,porque los cria"
en,"e had played atrick; and, indeed, it see"
fr,"voir le premierpossesseur de cet armet, "
fr,"and pot d'eau froide, disant que c'était"
fr,"tes, c'est qu'ils mouraient de soif, etq"
es,de estar con ella a solas. DíjoleAnselmo
es,"abuso y condenando aquél, reformando una"
fr,"voyant son maître s'arrêter, ilaccourut "
es,staban eran susmatadores; y con esta sos
es,scubierto su engaño. Todo esto le conten
en, verses of poetry which she had written 
fr," en a point céans, répondit l'hôtelier; "
fr,ort du dépit que causaient àl'ecclésiast
es,"a hallado enlas justas desa ciudad, no q"
es,"espetos, aunquesea pan y cebolla, que lo"
en,g his brains topuzzle out the meaning of
es,hombres las fingidas y disparatadashisto
es,"rced llegue a despertarme lacólera, haré"
es,n alcornoque -que CideHamete Benengeli n
fr,"s, même les plus chastes, aimentautant q"
fr,"si mal gardé sa fille, etcombien nous lu"
fr,pathie pourvos malheurs est telle qu'il 
fr,"erneur d'îles, si mon maître en peut con"
fr,astremblant vers la maison.Tandis que no
es,tró el don Antonio con deseo de conocerl
es, se los perdono para aquí y para delante
es,"erador, sino de ser arzobispo, querría y"
es,e nos imposibilitó el seguille. Por esto
es,"vechaba poco, ni aprovechó, hasta que de"
es,milagros -respondió Sansón.-Milagros o n
es,tapiz en día de procesión. A fe que si m
en,the Mirrors--thus he called the Knight o
fr," poussa un soupir, ets'apprêtait à lui f"
fr,"uchesse, puisque vousl'exigez, non-seule"
es, prometer de ir al lugar del Toboso y pr
fr, espérances; mais aucun de nous n'entend
es,"entado en las cosas del mundo, todas las"
es,"ayo, se tendió de largo alargo en la cam"
es, que este buen hombreque viene consigo e
es,"a en piernas y desgreñada, saltó delante"
fr," et nous verrons ce qui nousattend.Dors,"
es,ió don Quijote.-Yo lo dudo -replicó Sanc
es,"n burlas las que duelen, ni hay pasatiem"
es,", por no saber lo que escribiría; y, est"
es, sacar a la luz del mundo la historia de
es,que ver con el Caballerode la Ardiente E
fr,"le pré avec des branches d'arbres, afin "
es," la duquesaestaba dél enamorada, y que l"
es, no me den.»Fuese otro día Anselmo a la 
es,pudieran sercondesas si la fortuna quisi
es,"nden al gusto de oír disparates, y detod"
es,"rrada, quiso que todoslos demás se quema"
fr,"ncho, ne bois point; ne bois point, mone"
fr,"rtit le bachelier, Votre Grâce l'emporte"
fr,"dans ton  île, car il n'y a rien qui fas"
en,"ad now arrived, and that all therequirem"
fr,"agines que ce démon sent l'ambre, ou tu "
es,ogóle que bajasedonde estaban. Él respon
es,"me adoras,   puesto que no me lo has dic"
fr,"ême lapensée.A la bonne heure, va dormir"
en," would demand any other thing than love,"
fr,"suena, appelée aujourd'hui Sarragosse. R"
fr,"ompagnéede deux Turcs, ceux-là même qui "
es,"o, que vio a don Quijote atravesado en e"
fr,à la recherche duperfide en l'équipage o
en,having heard himself addressed as the Kn
fr,"A merveille, repartit don Quichotte. Mai"
es,"rmol, con gran maestría fabricado, sobre"
es,"e vayan fundadas enartículos de fe, sino"
es,he tan escuraque no parece en todo el ci
es, amigo de ladrones y de gente perdida. D
fr,e diable me faudra-t-il de plus?Ainsi do
en,"orenzo, a lady with manners like a man,a"
en,"d. Therefore, tightenRocinante's girth a"
fr,chevalier de la Triste-Figure! N'éprouve
en,"ered this a very odious practice. Last, "
es,"ecómo se han de perdonar los sujetos, y "
fr,"tre de venir vous exposer son infortune,"
es,  tomando por instrumento   la ociosidad
es,"dor, sabed que yo me llamo don Quijote d"
fr,"n je t'aime, jeveux accroître la dette, "
fr,ons chercher de meilleures aventures; ca
es," bien,yo callaré, pero no dejaré de anda"
fr,e s'il y a quelqueremède aux déplaisirs 
fr, et lui envoya du secours au plus fort d
es,"ele por algún breve espacio. Yo, Teodora"
fr," véridique histoire, mais encore des con"
es,las buenashistorias.-Hay mucho que decir
es, volvió en polvo y ceniza   la muerte es
es,"del común y no tienen amoparticular, no "
fr,t pour mepriver du bonheur que j'aurais 
es,"n ayunque y un martillo, y allí, a pura "
es,iese andar un año por aquellas montañas 
es,e pasó el corazón de parte a parte; y pú
fr,"nces, le débarrassa de sa visière, qui é"
fr," de ses œuvres.Cela est vrai, répondit A"
fr,este de ma vie à l'abri de larecherche d
en,"ns, came up at thismoment and joined his"
en,cho remained at the home of the newly ma
es,sto que cada vez que veía levantar las v
fr," suis libre et délié de mon serment, ajo"
en," lady rose from her chair, bowed her hea"
fr,"rande partieréalisé mon désir, car j'ai "
fr,",répondit Sancho; ce qui n'arrivera pas "
es,"na suma grandeza; otros, quetuvieron pri"
es,"eñores, que os agradezco el ofrecimiento"
fr,"me il a été dit, tenir compagnie à donQu"
fr,"tte, que j'aime avectant d'ardeur, j'ai "
fr,"dédommagement, il est vrai, fort au-dess"
fr, si l'on ne m'apas changé en nourrice; j
